type,pkg,cls,member,name,notes,verified,removal_reason
field,com.corrodinggames.rts.game.units.custom,bn,aT,restrictUnits,Restrict unit types flag (boolean),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,bn,aU,restrictBuildings,Restrict buildings flag (boolean),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,bn,aV,restrictProjectiles,Restrict projectiles flag (boolean),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,bn,aW,restrictDecorations,Restrict decorations flag (boolean),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,bn,aX,teamCount,Team count (int  default -1=unset),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,bn,aY,teamSizeFixed,Team size is fixed (boolean),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,bn,aZ,gameModeIndex,Game mode index (int  default -1=unset),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,bn,bA,spawnModeIndex,Spawn mode index (int  -1=unset),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,bn,bB,fogModeIndex,Fog mode index (int  -1=unset),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,bn,bC,customGameLogic,Custom game logic script (bp),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,bn,bD,disableNukes,Disable nuke weapons (boolean),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,bn,ba,gameModeCustom,Game mode is custom (boolean),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,bn,bc,hpMultiplier,Global HP multiplier (float),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,bn,be,buildSpeedMultiplier,Global build speed multiplier (float),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,bn,bf,resourceMultiplier,Global resource multiplier (float),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,bn,bg,useCustomBalance,Use custom game balance (boolean),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,bn,bh,startingCreditsMultiplier,Starting credits multiplier (float),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,bn,bi,showCustomSettings,Show custom settings in UI (boolean),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,bn,bj,allowCustomMaps,Allow custom maps (boolean),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,bn,bk,allowCustomCampaigns,Allow custom campaigns (boolean),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,bn,bl,useCustomVictoryCondition,Use custom victory condition (boolean),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,bn,bm,victoryConditionTimer,Victory condition timer (int),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,bn,bn,eliminationMode,Elimination/deathmatch mode (boolean),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,bn,bo,aiPersonalityValue,AI personality value (float),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,bn,bp,aiAggressionValue,AI aggression value (float),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,bn,bq,maxGameDuration,Max game duration seconds (int),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,bn,br,allowObserverChat,Allow observer chat (boolean),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,bn,bs,forceRandomSpawns,Force random spawn positions (boolean),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,bn,bt,pathingConfig,Pathfinding configuration (units.ab),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,bn,bu,enableFriendlyFire,Enable friendly fire (boolean),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,bn,bv,enableUnitBounty,Enable unit kill bounty (boolean),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,bn,bw,modMetadataA,Mod metadata object A (z),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,bn,bx,modMetadataB,Mod metadata object B (z),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,bn,by,modMetadataC,Mod metadata object C (z),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,bn,bz,gameModeConfig,Game mode configuration (bl),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,f,O,floatArray14,[Phase3-inferred] type=float[],suspicious-bc-missing,占位名垃圾 (do_*/get_+字母/类型+数字/描述句)
field,com.corrodinggames.rts.game.units.custom,f,P,short15,[Phase3-inferred] type=short,suspicious-bc-missing,占位名垃圾 (do_*/get_+字母/类型+数字/描述句)
field,com.corrodinggames.rts.game.units.custom,f,Q,short16,[Phase3-inferred] type=short,suspicious-bc-missing,占位名垃圾 (do_*/get_+字母/类型+数字/描述句)
field,com.corrodinggames.rts.game.units.custom,f,R,short17,[Phase3-inferred] type=short,suspicious-bc-missing,占位名垃圾 (do_*/get_+字母/类型+数字/描述句)
field,com.corrodinggames.rts.game.units.custom,r,e,modifierValue,Modifier value (float),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,r,f,modifierFlags,Modifier flags (int),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
method,com.corrodinggames.rts.game.units.custom.b,i,a,get_a,"""[Phase3-method] returns boolean""",suspicious-bc-missing,占位名垃圾 (do_*/get_+字母/类型+数字/描述句)
method,com.corrodinggames.rts.game.units.custom.b,i,aG,do_aG,"""[Phase3-method] returns void""",suspicious-bc-missing,占位名垃圾 (do_*/get_+字母/类型+数字/描述句)
method,com.corrodinggames.rts.game.units.custom.b,i,b,get_b,"""[Phase3-method] returns int""",suspicious-bc-missing,占位名垃圾 (do_*/get_+字母/类型+数字/描述句)
method,com.corrodinggames.rts.game.units.custom.b,n,A,get_A,"""[Phase3-method] returns int""",suspicious-bc-missing,占位名垃圾 (do_*/get_+字母/类型+数字/描述句)
method,com.corrodinggames.rts.game.units.custom.b,n,B,get_B,"""[Phase3-method] returns boolean""",suspicious-bc-missing,占位名垃圾 (do_*/get_+字母/类型+数字/描述句)
method,com.corrodinggames.rts.game.units.custom.b,n,C,get_C,"""[Phase3-method] returns int""",suspicious-bc-missing,占位名垃圾 (do_*/get_+字母/类型+数字/描述句)
method,com.corrodinggames.rts.game.units.custom.b,n,D,get_D,"""[Phase3-method] returns float""",suspicious-bc-missing,占位名垃圾 (do_*/get_+字母/类型+数字/描述句)
method,com.corrodinggames.rts.game.units.custom.b,n,E,get_E,"""[Phase3-method] returns float""",suspicious-bc-missing,占位名垃圾 (do_*/get_+字母/类型+数字/描述句)
method,com.corrodinggames.rts.game.units.custom.b,n,F,do_F,"""[Phase3-method] returns void""",suspicious-bc-missing,占位名垃圾 (do_*/get_+字母/类型+数字/描述句)
method,com.corrodinggames.rts.game.units.custom.b,n,G,get_G,"""[Phase3-method] returns int""",suspicious-bc-missing,占位名垃圾 (do_*/get_+字母/类型+数字/描述句)
method,com.corrodinggames.rts.game.units.custom.b,n,H,get_H,"""[Phase3-method] returns int""",suspicious-bc-missing,占位名垃圾 (do_*/get_+字母/类型+数字/描述句)
method,com.corrodinggames.rts.game.units.custom.b,n,I,do_I,"""[Phase3-method] returns void""",suspicious-bc-missing,占位名垃圾 (do_*/get_+字母/类型+数字/描述句)
method,com.corrodinggames.rts.game.units.custom.b,n,J,do_J,"""[Phase3-method] returns void""",suspicious-bc-missing,占位名垃圾 (do_*/get_+字母/类型+数字/描述句)
method,com.corrodinggames.rts.game.units.custom.b,n,K,get_K,"""[Phase3-method] returns int""",suspicious-bc-missing,占位名垃圾 (do_*/get_+字母/类型+数字/描述句)
method,com.corrodinggames.rts.game.units.custom.b,n,L,do_L,"""[Phase3-method] returns void""",suspicious-bc-missing,占位名垃圾 (do_*/get_+字母/类型+数字/描述句)
method,com.corrodinggames.rts.game.units.custom.b,n,M,get_M,"""[Phase3-method] returns int""",suspicious-bc-missing,占位名垃圾 (do_*/get_+字母/类型+数字/描述句)
method,com.corrodinggames.rts.game.units.custom.b,n,N,get_N,"""[Phase3-method] returns java.lang.String""",suspicious-bc-missing,占位名垃圾 (do_*/get_+字母/类型+数字/描述句)
method,com.corrodinggames.rts.game.units.custom.b,n,O,do_O,"""[Phase3-method] returns void""",suspicious-bc-missing,占位名垃圾 (do_*/get_+字母/类型+数字/描述句)
method,com.corrodinggames.rts.game.units.custom.b,n,P,do_P,"""[Phase3-method] returns void""",suspicious-bc-missing,占位名垃圾 (do_*/get_+字母/类型+数字/描述句)
method,com.corrodinggames.rts.game.units.custom.b,n,Q,do_Q,"""[Phase3-method] returns void""",suspicious-bc-missing,占位名垃圾 (do_*/get_+字母/类型+数字/描述句)
method,com.corrodinggames.rts.game.units.custom.b,n,R,get_R,"""[Phase3-method] returns int""",suspicious-bc-missing,占位名垃圾 (do_*/get_+字母/类型+数字/描述句)
method,com.corrodinggames.rts.game.units.custom.b,n,S,get_S,"""[Phase3-method] returns int""",suspicious-bc-missing,占位名垃圾 (do_*/get_+字母/类型+数字/描述句)
method,com.corrodinggames.rts.game.units.custom.b,n,T,do_T,"""[Phase3-method] returns void""",suspicious-bc-missing,占位名垃圾 (do_*/get_+字母/类型+数字/描述句)
field,com.corrodinggames.rts.game.units.custom.c,f,O,floatArray14,[Phase3-inferred] type=float[],suspicious-bc-missing,占位名垃圾 (do_*/get_+字母/类型+数字/描述句)
field,com.corrodinggames.rts.game.units.custom.c,f,P,short15,[Phase3-inferred] type=short,suspicious-bc-missing,占位名垃圾 (do_*/get_+字母/类型+数字/描述句)
field,com.corrodinggames.rts.game.units.custom.c,f,Q,short16,[Phase3-inferred] type=short,suspicious-bc-missing,占位名垃圾 (do_*/get_+字母/类型+数字/描述句)
field,com.corrodinggames.rts.game.units.custom.c,f,R,short17,[Phase3-inferred] type=short,suspicious-bc-missing,占位名垃圾 (do_*/get_+字母/类型+数字/描述句)
field,com.corrodinggames.rts.game.units.custom.d,a,c,storageAmount,Current storage amount (float),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom.d,a,f,maxStorageCapacity,Maximum storage capacity (int),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom.d,a,i,uiDisplayOrder,UI sort/display order (int),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom.d,a,j,resourceFlags,Resource behavior flags (int),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom.d,a,l,resourceBarColor,Resource bar color (static int ARGB),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom.d,a,m,defaultResourceType,Default empty resource type (static e.f),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.gameFramework,aj,a,bindingMapA,Key binding map A (static aj),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.gameFramework,aj,b,bindingMapB,Key binding map B (static ai),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.gameFramework,aj,n,cameraUpAlt,Camera Up alternate binding (ad,suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.gameFramework,aj,o,cameraDownAlt,Camera Down alternate binding (ad,suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.gameFramework,aj,p,cameraLeftAlt,Camera Left alternate binding (ad,suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.gameFramework,aj,q,cameraRightAlt,Camera Right alternate binding (ad,suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.gameFramework,aj,r,zoomInAlt,Zoom In alternate binding (ad,suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.gameFramework,aj,s,zoomOutAlt,Zoom Out alternate binding (ad,suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.gameFramework,aj,t,sendChatAlt,Send Chat alternate binding (ad,suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.gameFramework,w,es,objectWidth,Object bounding width,suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.gameFramework,w,et,objectHeight,Object bounding height,suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.gameFramework,w,eu,boundingRadius,Circular bounding radius,suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
method,com.corrodinggames.rts.gameFramework,w,g,onPositionChanged,[[MANUAL: GameObject base overload]: multi-overload — needs manual disambiguation] Callback when position changes (0 overloads),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
method,com.corrodinggames.rts.gameFramework,w,j,getDisplayName,[[MANUAL: GameObject base overload]: multi-overload — needs manual disambiguation] Return display name for debug/UI (0 overloads),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
method,com.corrodinggames.rts.gameFramework,w,k,onAddedToWorld,[[MANUAL: GameObject base overload]: multi-overload — needs manual disambiguation] Callback when added to game world (0 overloads),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
method,com.corrodinggames.rts.gameFramework,w,l,onRemovedFromWorld,[[MANUAL: GameObject base overload]: multi-overload — needs manual disambiguation] Callback when removed from world (0 overloads),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.gameFramework.a,h,A,soundBugDie,Bug death sound (static i),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.gameFramework.a,h,B,soundBugAttack,Bug attack sound (static i),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.gameFramework.a,h,C,soundNukeExplode,Nuke explosion sound (static i),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.gameFramework.a,h,D,soundNukeLaunch,Nuke launch sound (static i),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.gameFramework.a,h,E,soundLaserDeflect,Laser deflect sound 1 (static i),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.gameFramework.a,h,F,soundLaserDeflect2,Laser deflect sound 2 (static i),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.gameFramework.a,h,b,soundDisabled,Sound disabled flag (boolean),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.gameFramework.a,h,c,soundFactory,Sound factory (static h = SoundFactory),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.gameFramework.a,h,d,soundAttack2,Attack sound variant 2 (static i = Sound),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.gameFramework.a,h,e,soundAttack,Attack sound (static i),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.gameFramework.a,h,f,soundMove,Move order sound (static i),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.gameFramework.a,h,g,soundClick,UI click sound (static i),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.gameFramework.a,h,i,soundClickRemove,Unit remove click sound (static i),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.gameFramework.a,h,j,soundWarning,Warning alert sound (static i),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.gameFramework.a,h,k,soundMessage,Message notification sound (static i),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.gameFramework.a,h,l,soundInterfaceError,Interface error sound (static i),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.gameFramework.a,h,m,soundMissileFire,Missile launch sound (static i),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.gameFramework.a,h,n,soundMissileHit,Missile impact sound (static i),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.gameFramework.a,h,o,soundUnitExplode,Unit explosion sound (static i),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.gameFramework.a,h,p,soundBuildingExplode,Building explosion sound (static i),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.gameFramework.a,h,q,soundTankFiring,Tank cannon firing sound (static i),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.gameFramework.a,h,r,soundCannonFiring,Cannon firing sound (static i),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.gameFramework.a,h,s,soundGunFire,Gun fire sound (static i),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.gameFramework.a,h,t,soundFiring3,Weapon fire variant 3 (static i),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.gameFramework.a,h,u,soundFiring4,Weapon fire variant 4 (static i),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.gameFramework.a,h,v,soundLargeGunFire1,Large gun fire variant 1 (static i),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.gameFramework.a,h,w,soundLargeGunFire2,Large gun fire variant 2 (static i),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.gameFramework.a,h,x,soundLightningBurst,Lightning burst sound (static i),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.gameFramework.a,h,y,soundPlasmaFire,Plasma fire sound (static i),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.gameFramework.a,h,z,soundPlasmaFire2,Plasma fire variant 2 (static i),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
method,com.corrodinggames.rts.gameFramework.a,i,aG,do_aG,"""[Phase3-method] returns void""",suspicious-bc-missing,占位名垃圾 (do_*/get_+字母/类型+数字/描述句)
method,com.corrodinggames.rts.gameFramework.a,i,b,get_b,"""[Phase3-method] returns int""",suspicious-bc-missing,占位名垃圾 (do_*/get_+字母/类型+数字/描述句)
method,com.corrodinggames.rts.gameFramework.b,b,l,resetRendererState,[[MANUAL: GL batch renderer overload - low-level]: multi-overload — needs manual disambiguation] Reset all cached GL state,suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
method,com.corrodinggames.rts.gameFramework.b,b,m,beginBatchMode,[[MANUAL: GL batch renderer overload - low-level]: multi-overload — needs manual disambiguation] Enter batch rendering mode,suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
method,com.corrodinggames.rts.gameFramework.b,b,n,beginImmediateMode,[[MANUAL: GL batch renderer overload - low-level]: multi-overload — needs manual disambiguation] Enter immediate rendering mode,suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
method,com.corrodinggames.rts.gameFramework.b,b,o,flushBatch,[[MANUAL: GL batch renderer overload - low-level]: multi-overload — needs manual disambiguation] Flush batch drawer,suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
method,com.corrodinggames.rts.gameFramework.b,b,p,clearGlErrors,[[MANUAL: GL batch renderer overload - low-level]: multi-overload — needs manual disambiguation] Consume all pending GL error codes,suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
method,com.corrodinggames.rts.gameFramework.b,b,q,checkGlError,[[MANUAL: GL batch renderer overload - low-level]: multi-overload — needs manual disambiguation] Check GL error if debug enabled,suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
method,com.corrodinggames.rts.gameFramework.b,b,r,checkGlErrorAlways,[[MANUAL: GL batch renderer overload - low-level]: multi-overload — needs manual disambiguation] Check GL error unconditionally,suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
method,com.corrodinggames.rts.gameFramework.b,b,t,getCurrentRenderTarget,[[MANUAL: GL batch renderer overload - low-level]: multi-overload — needs manual disambiguation] Return top of render-target stack,suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
method,com.corrodinggames.rts.gameFramework.b,b,u,checkFramebufferGLES20,[[MANUAL: GL batch renderer overload - low-level]: multi-overload — needs manual disambiguation] Check GLES20 framebuffer completeness,suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
method,com.corrodinggames.rts.gameFramework.b,b,v,checkFramebufferOES,[[MANUAL: GL batch renderer overload - low-level]: multi-overload — needs manual disambiguation] Check OES framebuffer completeness,suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
method,com.corrodinggames.rts.gameFramework.b,i,aG,do_aG,"""[Phase3-method] returns void""",suspicious-bc-missing,占位名垃圾 (do_*/get_+字母/类型+数字/描述句)
method,com.corrodinggames.rts.gameFramework.b,i,b,get_b,"""[Phase3-method] returns int""",suspicious-bc-missing,占位名垃圾 (do_*/get_+字母/类型+数字/描述句)
method,com.corrodinggames.rts.gameFramework.b,n,A,get_A,"""[Phase3-method] returns int""",suspicious-bc-missing,占位名垃圾 (do_*/get_+字母/类型+数字/描述句)
method,com.corrodinggames.rts.gameFramework.b,n,B,get_B,"""[Phase3-method] returns boolean""",suspicious-bc-missing,占位名垃圾 (do_*/get_+字母/类型+数字/描述句)
method,com.corrodinggames.rts.gameFramework.b,n,C,get_C,"""[Phase3-method] returns int""",suspicious-bc-missing,占位名垃圾 (do_*/get_+字母/类型+数字/描述句)
method,com.corrodinggames.rts.gameFramework.b,n,D,get_D,"""[Phase3-method] returns float""",suspicious-bc-missing,占位名垃圾 (do_*/get_+字母/类型+数字/描述句)
method,com.corrodinggames.rts.gameFramework.b,n,E,get_E,"""[Phase3-method] returns float""",suspicious-bc-missing,占位名垃圾 (do_*/get_+字母/类型+数字/描述句)
method,com.corrodinggames.rts.gameFramework.b,n,F,do_F,"""[Phase3-method] returns void""",suspicious-bc-missing,占位名垃圾 (do_*/get_+字母/类型+数字/描述句)
method,com.corrodinggames.rts.gameFramework.b,n,G,get_G,"""[Phase3-method] returns int""",suspicious-bc-missing,占位名垃圾 (do_*/get_+字母/类型+数字/描述句)
